classifi,pratica,audi521,inialcoo,pibpercapita
3,4,2,5,"15.152,8"
2,4,1,9,"15.152,8"
2,4,2,5,"15.152,8"
2,4,3,3,"15.152,8"
4,4,3,4,"15.152,8"
4,2,1,9,"15.152,8"
2,2,1,9,"15.152,8"
4,9,3,4,"15.152,8"
2,2,5,1,"15.152,8"
2,3,1,4,"15.152,8"
4,3,1,9,"15.152,8"
2,4,2,4,"15.152,8"
2,3,1,5,"15.152,8"
2,3,1,4,"15.152,8"
1,4,5,5,"15.152,8"
2,4,2,4,"15.152,8"
2,3,3,4,"15.152,8"
9,3,1,9,"15.152,8"
2,3,1,9,"15.152,8"
1,4,2,4,"15.152,8"
2,3,3,4,"15.152,8"
9,4,2,4,"15.152,8"
1,3,2,4,"15.152,8"
2,1,4,4,"15.152,8"
2,4,1,9,"15.152,8"
2,3,2,4,"15.152,8"
4,2,1,9,"15.152,8"
4,3,1,9,"15.152,8"
3,3,3,3,"15.152,8"
2,4,2,3,"15.152,8"
2,3,1,9,"15.152,8"
1,4,2,3,"15.152,8"
4,4,1,9,"15.152,8"
2,2,1,3,"15.152,8"
3,3,1,9,"15.152,8"
1,4,3,5,"15.152,8"
2,3,3,5,"15.152,8"
1,2,1,9,"15.152,8"
4,3,2,5,"15.152,8"
1,4,1,9,"15.152,8"
2,4,1,9,"15.152,8"
3,1,2,3,"15.152,8"
2,1,1,9,"15.152,8"
2,3,1,9,"15.152,8"
4,4,1,9,"15.152,8"
2,4,2,5,"15.152,8"
3,4,2,4,"15.152,8"
2,4,3,1,"15.152,8"
2,3,1,9,"15.152,8"
4,4,1,9,"15.152,8"
1,4,3,5,"15.152,8"
2,2,2,4,"15.152,8"
4,2,1,9,"15.152,8"
3,2,1,4,"15.152,8"
2,4,2,2,"15.152,8"
3,4,2,4,"15.152,8"
3,4,2,5,"15.152,8"
4,2,1,9,"15.152,8"
3,3,1,9,"15.152,8"
3,3,1,9,"15.152,8"
3,3,1,9,"15.152,8"
2,4,9,9,"15.152,8"
3,3,2,5,"15.152,8"
3,4,2,2,"15.152,8"
3,4,1,4,"15.152,8"
4,3,1,9,"15.152,8"
3,3,2,9,"15.152,8"
4,3,2,5,"15.152,8"
3,3,2,5,"15.152,8"
2,4,2,4,"15.152,8"
3,4,1,4,"15.152,8"
4,3,2,2,"15.152,8"
4,4,3,4,"15.152,8"
2,4,3,2,"15.152,8"
3,4,4,3,"15.152,8"
2,4,1,9,"15.152,8"
2,4,4,4,"15.152,8"
3,3,2,4,"15.152,8"
2,3,1,9,"15.152,8"
2,4,2,5,"15.152,8"
3,4,3,4,"15.152,8"
2,4,1,9,"15.152,8"
2,3,3,3,"15.152,8"
2,4,2,5,"15.152,8"
2,2,2,4,"15.152,8"
2,3,2,2,"15.152,8"
3,4,3,3,"15.152,8"
2,3,1,9,"15.152,8"
2,3,1,4,"15.152,8"
2,3,2,4,"15.152,8"
4,4,2,4,"15.152,8"
2,2,2,5,"15.152,8"
2,4,1,9,"15.152,8"
